County,State,Total
Mitchell County, North Carolina,15000
Montgomery County, North Carolina,27271
Moore County, North Carolina,98682
Nash County, North Carolina,94016
New Hanover County, North Carolina,232274
Northampton County, North Carolina,19676
Onslow County, North Carolina,197683
Orange County, North Carolina,146027
Pamlico County, North Carolina,12670
Pasquotank County, North Carolina,39639
Pender County, North Carolina,62162
Perquimans County, North Carolina,13422
Person County, North Carolina,39507
Pitt County, North Carolina,179914
Polk County, North Carolina,20611
Randolph County, North Carolina,143351
Richmond County, North Carolina,44887
Robeson County, North Carolina,131831
Rockingham County, North Carolina,90690
Rowan County, North Carolina,141262
Rutherford County, North Carolina,66826
Sampson County, North Carolina,63626
Scotland County, North Carolina,34810
Stanly County, North Carolina,62075
Stokes County, North Carolina,45467
Surry County, North Carolina,71948
Swain County, North Carolina,14245
Transylvania County, North Carolina,34215
Tyrrell County, North Carolina,4131
Union County, North Carolina,235908
Vance County, North Carolina,44582
Wake County, North Carolina,1092305
Warren County, North Carolina,19807
Washington County, North Carolina,11859
Watauga County, North Carolina,55945
Wayne County, North Carolina,123248
Wilkes County, North Carolina,68557
Wilson County, North Carolina,81455
Yadkin County, North Carolina,37543
Yancey County, North Carolina,17903
Adams County, North Dakota,2294
Barnes County, North Dakota,10542
Benson County, North Dakota,6962
Billings County, North Dakota,919
Bottineau County, North Dakota,6411
Bowman County, North Dakota,3076
Burke County, North Dakota,2100
Burleigh County, North Dakota,95273
Cass County, North Dakota,181516
Cavalier County, North Dakota,3829
Dickey County, North Dakota,4903
Divide County, North Dakota,2283
Dunn County, North Dakota,4332
Eddy County, North Dakota,2313
Emmons County, North Dakota,3295
Foster County, North Dakota,3216
Golden Valley County, North Dakota,1769
Grand Forks County, North Dakota,70770
Grant County, North Dakota,2374
Griggs County, North Dakota,2232
Hettinger County, North Dakota,2514
Kidder County, North Dakota,2450
LaMoure County, North Dakota,4062
Logan County, North Dakota,1903
McHenry County, North Dakota,5816
McIntosh County, North Dakota,2585
McKenzie County, North Dakota,13632
McLean County, North Dakota,9541
Mercer County, North Dakota,8267
Morton County, North Dakota,31095
Mountrail County, North Dakota,10218
Nelson County, North Dakota,2869
Oliver County, North Dakota,1952
Pembina County, North Dakota,6947
Pierce County, North Dakota,4081
Ramsey County, North Dakota,11481
Ransom County, North Dakota,5237
Renville County, North Dakota,2374
Richland County, North Dakota,16239
Rolette County, North Dakota,14301
Sargent County, North Dakota,3870
Sheridan County, North Dakota,1349
Sioux County, North Dakota,4358
Slope County, North Dakota,763
Stark County, North Dakota,30997
Steele County, North Dakota,1903
Stutsman County, North Dakota,20917
Towner County, North Dakota,2192
Traill County, North Dakota,8037
Walsh County, North Dakota,10667
Ward County, North Dakota,67744
Wells County, North Dakota,3957
Williams County, North Dakota,35350
Adams County, Ohio,27724
Allen County, Ohio,102663
Ashland County, Ohio,53745
Ashtabula County, Ohio,97493
Athens County, Ohio,65818
Auglaize County, Ohio,45804
Belmont County, Ohio,67505
Brown County, Ohio,43602
Butler County, Ohio,382378
Carroll County, Ohio,27081
Champaign County, Ohio,38754
Clark County, Ohio,134585
Clermont County, Ohio,205466
Clinton County, Ohio,42057
Columbiana County, Ohio,102665
Coshocton County, Ohio,36629
Crawford County, Ohio,41550
Cuyahoga County, Ohio,1243857
Darke County, Ohio,51323
Defiance County, Ohio,38165
Delaware County, Ohio,204826
Erie County, Ohio,74615
Fairfield County, Ohio,155782
Fayette County, Ohio,28666
Franklin County, Ohio,1310300
Fulton County, Ohio,42276
Gallia County, Ohio,29979
Geauga County, Ohio,94031
Greene County, Ohio,167995
Guernsey County, Ohio,39022
Hamilton County, Ohio,816684
Hancock County, Ohio,75930
Hardin County, Ohio,31480
Harrison County, Ohio,15174
Henry County, Ohio,27086
Highland County, Ohio,43058
Hocking County, Ohio,28385
Holmes County, Ohio,43892
Huron County, Ohio,58504
Jackson County, Ohio,32384
Jefferson County, Ohio,65767
Knox County, Ohio,61893
Lake County, Ohio,230514
Lawrence County, Ohio,59866
Licking County, Ohio,175769
Logan County, Ohio,45358
Lorain County, Ohio,309461
Lucas County, Ohio,429899
Madison County, Ohio,44413
Mahoning County, Ohio,229642
Marion County, Ohio,65256
Medina County, Ohio,179146
Meigs County, Ohio,23106
Mercer County, Ohio,40959
Miami County, Ohio,106222
Monroe County, Ohio,13790
Montgomery County, Ohio,532331
Morgan County, Ohio,14604
Morrow County, Ohio,35112
Muskingum County, Ohio,86183
Noble County, Ohio,14354
Ottawa County, Ohio,40769
Paulding County, Ohio,18760
Perry County, Ohio,36033
Pickaway County, Ohio,58086
Pike County, Ohio,28067
Portage County, Ohio,162927
Preble County, Ohio,40997
Putnam County, Ohio,33780
Richland County, Ohio,121099
Ross County, Ohio,76931
Sandusky County, Ohio,58799
Scioto County, Ohio,75502
Seneca County, Ohio,55207
Shelby County, Ohio,48627
Stark County, Ohio,371574
Summit County, Ohio,541918
Trumbull County, Ohio,198627
Tuscarawas County, Ohio,92176
Union County, Ohio,57835
Van Wert County, Ohio,28281
Vinton County, Ohio,13139
Warren County, Ohio,232173
Washington County, Ohio,60155
Wayne County, Ohio,115967
Williams County, Ohio,36804
Wood County, Ohio,130696
Wyandot County, Ohio,21935
Adair County, Oklahoma,22082
Alfalfa County, Oklahoma,5754
Atoka County, Oklahoma,13838
Beaver County, Oklahoma,5319
Beckham County, Oklahoma,21709
Blaine County, Oklahoma,9485
Bryan County, Oklahoma,47192
Caddo County, Oklahoma,28977
Canadian County, Oklahoma,144447
Carter County, Oklahoma,48177
Cherokee County, Oklahoma,48675
Choctaw County, Oklahoma,14668
Cimarron County, Oklahoma,2153
Cleveland County, Oklahoma,281669
Coal County, Oklahoma,5520
Comanche County, Oklahoma,120422
Cotton County, Oklahoma,5776
Craig County, Oklahoma,14306
Creek County, Oklahoma,71604
Custer County, Oklahoma,29036
Delaware County, Oklahoma,42733
Dewey County, Oklahoma,4894
Ellis County, Oklahoma,3952
Garfield County, Oklahoma,60913
Garvin County, Oklahoma,27811
Grady County, Oklahoma,55551
Grant County, Oklahoma,4326
Greer County, Oklahoma,5821
Harmon County, Oklahoma,2664
Harper County, Oklahoma,3797
Haskell County, Oklahoma,12668
Hughes County, Oklahoma,13335
Jackson County, Oklahoma,24949
Jefferson County, Oklahoma,6123
Johnston County, Oklahoma,10949
Kay County, Oklahoma,44161
Kingfisher County, Oklahoma,15816
Kiowa County, Oklahoma,8729
Latimer County, Oklahoma,10231
Le Flore County, Oklahoma,49980
Lincoln County, Oklahoma,34920
Logan County, Oklahoma,47291
Love County, Oklahoma,10134
McClain County, Oklahoma,39985
McCurtain County, Oklahoma,32703
McIntosh County, Oklahoma,19815
Major County, Oklahoma,7644
Marshall County, Oklahoma,16806
Mayes County, Oklahoma,41107
Murray County, Oklahoma,13953
Muskogee County, Oklahoma,68362
Noble County, Oklahoma,11289
Nowata County, Oklahoma,10218
Okfuskee County, Oklahoma,12098
Oklahoma County, Oklahoma,792582
Okmulgee County, Oklahoma,38335
Osage County, Oklahoma,47014
Ottawa County, Oklahoma,31175
Pawnee County, Oklahoma,16390
Payne County, Oklahoma,82040
Pittsburg County, Oklahoma,43877
Pontotoc County, Oklahoma,38247
Pottawatomie County, Oklahoma,72679
Pushmataha County, Oklahoma,11179
Roger Mills County, Oklahoma,3656
Rogers County, Oklahoma,91984
Seminole County, Oklahoma,24578
Sequoyah County, Oklahoma,41179
Stephens County, Oklahoma,43265
Texas County, Oklahoma,20455
Tillman County, Oklahoma,7348
Tulsa County, Oklahoma,648360
Wagoner County, Oklahoma,80110
Washington County, Oklahoma,51843
Washita County, Oklahoma,11127
Woods County, Oklahoma,8897
Woodward County, Oklahoma,20222
Baker County, Oregon,16006
Benton County, Oregon,92101
Clackamas County, Oregon,416075
Clatsop County, Oregon,39764
Columbia County, Oregon,52377
Coos County, Oregon,64389
Crook County, Oregon,23867
Curry County, Oregon,22813
Deschutes County, Oregon,191996
Douglas County, Oregon,110283
Gilliam County, Oregon,1894
Grant County, Oregon,7176
Harney County, Oregon,7329
Hood River County, Oregon,23428
Jackson County, Oregon,219564
Jefferson County, Oregon,24192
Josephine County, Oregon,87393
Klamath County, Oregon,67653
Lake County, Oregon,7879
Lane County, Oregon,379611
Lincoln County, Oregon,49388
Linn County, Oregon,127335
Malheur County, Oregon,30725
Marion County, Oregon,346868
Morrow County, Oregon,11372
Multnomah County, Oregon,811880
Polk County, Oregon,85234
Sherman County, Oregon,1708
Tillamook County, Oregon,26787
Umatilla County, Oregon,77516
Union County, Oregon,26461
Wallowa County, Oregon,7081
Wasco County, Oregon,26505
Washington County, Oregon,597695
Wheeler County, Oregon,1366
Yamhill County, Oregon,107002
Adams County, Pennsylvania,102811
Allegheny County, Pennsylvania,1218452
Armstrong County, Pennsylvania,65263
Beaver County, Pennsylvania,164742
Bedford County, Pennsylvania,48176
Berks County, Pennsylvania,420152
Blair County, Pennsylvania,122492
Bradford County, Pennsylvania,60833
Bucks County, Pennsylvania,628195
Butler County, Pennsylvania,187888
Cambria County, Pennsylvania,131730
Cameron County, Pennsylvania,4492
Carbon County, Pennsylvania,64227
Centre County, Pennsylvania,162805
Chester County, Pennsylvania,522046
Clarion County, Pennsylvania,38779
Clearfield County, Pennsylvania,79388
Clinton County, Pennsylvania,38684
Columbia County, Pennsylvania,65456
Crawford County, Pennsylvania,85063
Cumberland County, Pennsylvania,251423
Dauphin County, Pennsylvania,277097
Delaware County, Pennsylvania,564751
Elk County, Pennsylvania,30169
Erie County, Pennsylvania,272061
Fayette County, Pennsylvania,130441
Forest County, Pennsylvania,7279
Franklin County, Pennsylvania,154835
Fulton County, Pennsylvania,14523
Greene County, Pennsylvania,36506
Huntingdon County, Pennsylvania,45168
Indiana County, Pennsylvania,84501
Jefferson County, Pennsylvania,43641
Juniata County, Pennsylvania,24704
Lackawanna County, Pennsylvania,210793
Lancaster County, Pennsylvania,543557
Lawrence County, Pennsylvania,86184
Lebanon County, Pennsylvania,141314
Lehigh County, Pennsylvania,368100
Luzerne County, Pennsylvania,317646
Lycoming County, Pennsylvania,113664
McKean County, Pennsylvania,40968
Mercer County, Pennsylvania,110683
Mifflin County, Pennsylvania,46222
Monroe County, Pennsylvania,169507
Montgomery County, Pennsylvania,828604
Montour County, Pennsylvania,18240
Northampton County, Pennsylvania,304807
Northumberland County, Pennsylvania,91083
Perry County, Pennsylvania,46139
Philadelphia County, Pennsylvania,1584138
Pike County, Pennsylvania,55933
Potter County, Pennsylvania,16622
Schuylkill County, Pennsylvania,142067
Snyder County, Pennsylvania,40540
Somerset County, Pennsylvania,73952
Sullivan County, Pennsylvania,6071
Susquehanna County, Pennsylvania,40589
Tioga County, Pennsylvania,40763
Union County, Pennsylvania,44785
Venango County, Pennsylvania,51266
Warren County, Pennsylvania,39498
Washington County, Pennsylvania,207346
Wayne County, Pennsylvania,51276
Westmoreland County, Pennsylvania,350611
Wyoming County, Pennsylvania,27046
York County, Pennsylvania,448273
Bristol County, Rhode Island,48649
Kent County, Rhode Island,163861
Newport County, Rhode Island,82542
Providence County, Rhode Island,636084
Washington County, Rhode Island,126179
Abbeville County, South Carolina,24541
Aiken County, South Carolina,169401
Allendale County, South Carolina,8903
Anderson County, South Carolina,200482
Bamberg County, South Carolina,14275
Barnwell County, South Carolina,21112
Beaufort County, South Carolina,188715
Berkeley County, South Carolina,221091
Calhoun County, South Carolina,14520
Charleston County, South Carolina,405905
Cherokee County, South Carolina,57078
Chester County, South Carolina,32251
Chesterfield County, South Carolina,45754
Clarendon County, South Carolina,33700
Colleton County, South Carolina,37660
Darlington County, South Carolina,66802
Dillon County, South Carolina,30599
Dorchester County, South Carolina,160647
Edgefield County, South Carolina,27052
Fairfield County, South Carolina,22402
Florence County, South Carolina,138159
Georgetown County, South Carolina,62249
Greenville County, South Carolina,514213
Greenwood County, South Carolina,70741
Hampton County, South Carolina,19351
Horry County, South Carolina,344147
Jasper County, South Carolina,28971
Kershaw County, South Carolina,65592
Lancaster County, South Carolina,95380
Laurens County, South Carolina,66994
Lee County, South Carolina,17142
Lexington County, South Carolina,295032
McCormick County, South Carolina,9410
Marion County, South Carolina,31039
Marlboro County, South Carolina,26398
Newberry County, South Carolina,38520
Oconee County, South Carolina,78374
Orangeburg County, South Carolina,86934
Pickens County, South Carolina,124937
Richland County, South Carolina,414576
Saluda County, South Carolina,20544
Spartanburg County, South Carolina,313888
Sumter County, South Carolina,106512
Union County, South Carolina,27410
Williamsburg County, South Carolina,30606
York County, South Carolina,274118
Aurora County, South Dakota,2801
Beadle County, South Dakota,18883
Bennett County, South Dakota,3468
Bon Homme County, South Dakota,6980
Brookings County, South Dakota,35232
Brown County, South Dakota,39316
Brule County, South Dakota,5229
Buffalo County, South Dakota,2036
Butte County, South Dakota,10222
Campbell County, South Dakota,1377
Charles Mix County, South Dakota,9338
Clark County, South Dakota,3739
Clay County, South Dakota,14041
Codington County, South Dakota,28015
Corson County, South Dakota,4165
Custer County, South Dakota,8726
Davison County, South Dakota,19790
Day County, South Dakota,5505
Deuel County, South Dakota,4337
Dewey County, South Dakota,5904
Douglas County, South Dakota,2935
Edmunds County, South Dakota,3875
Fall River County, South Dakota,6758
Faulk County, South Dakota,2330
Grant County, South Dakota,7147
Gregory County, South Dakota,4212
Haakon County, South Dakota,1918
Hamlin County, South Dakota,6111
Hand County, South Dakota,3262
Hanson County, South Dakota,3376
Harding County, South Dakota,1249
Hughes County, South Dakota,17650
Hutchinson County, South Dakota,7380
Hyde County, South Dakota,1282
Jackson County, South Dakota,3307
Jerauld County, South Dakota,2043
Jones County, South Dakota,928
Kingsbury County, South Dakota,4919
Lake County, South Dakota,13057
Lawrence County, South Dakota,25741
Lincoln County, South Dakota,58807
Lyman County, South Dakota,3821
McCook County, South Dakota,5546
McPherson County, South Dakota,2407
Marshall County, South Dakota,5112
Meade County, South Dakota,28294
Mellette County, South Dakota,2042
Miner County, South Dakota,2213
Minnehaha County, South Dakota,192876
Moody County, South Dakota,6579
Oglala Lakota County, South Dakota,14309
Pennington County, South Dakota,111729
Perkins County, South Dakota,2922
Potter County, South Dakota,2207
Roberts County, South Dakota,10447
Sanborn County, South Dakota,2429
Spink County, South Dakota,6495
Stanley County, South Dakota,3022
Sully County, South Dakota,1392
Todd County, South Dakota,10283
Tripp County, South Dakota,5478
Turner County, South Dakota,8424
Union County, South Dakota,15619
Walworth County, South Dakota,5587
Yankton County, South Dakota,22869
Ziebach County, South Dakota,2742
Anderson County, Tennessee,76482
Bedford County, Tennessee,49038
Benton County, Tennessee,16184
Bledsoe County, Tennessee,14755
Blount County, Tennessee,131349
Bradley County, Tennessee,106727
Campbell County, Tennessee,39583
Cannon County, Tennessee,14462
Carroll County, Tennessee,28020
Carter County, Tennessee,56351
Cheatham County, Tennessee,40439
Chester County, Tennessee,17276
Claiborne County, Tennessee,31756
Clay County, Tennessee,7717
Cocke County, Tennessee,35774
Coffee County, Tennessee,55700
Crockett County, Tennessee,14328
Cumberland County, Tennessee,59673
Davidson County, Tennessee,692587
Decatur County, Tennessee,11706
DeKalb County, Tennessee,20138
Dickson County, Tennessee,53446
Dyer County, Tennessee,37320
Fayette County, Tennessee,40507
Fentress County, Tennessee,18217
Franklin County, Tennessee,41890
Gibson County, Tennessee,49045
Giles County, Tennessee,29503
Grainger County, Tennessee,23145
Greene County, Tennessee,69087
Grundy County, Tennessee,13346
Hamblen County, Tennessee,64569
Hamilton County, Tennessee,364286
Hancock County, Tennessee,6549
Hardeman County, Tennessee,25220
Hardin County, Tennessee,25776
Hawkins County, Tennessee,56530
Haywood County, Tennessee,17335
Henderson County, Tennessee,27847
Henry County, Tennessee,32358
Hickman County, Tennessee,25063
Houston County, Tennessee,8263
Humphreys County, Tennessee,18486
Jackson County, Tennessee,11758
Jefferson County, Tennessee,54012
Johnson County, Tennessee,17778
Knox County, Tennessee,465289
Lake County, Tennessee,7411
Lauderdale County, Tennessee,25825
Lawrence County, Tennessee,43734
Lewis County, Tennessee,12086
Lincoln County, Tennessee,34117
Loudon County, Tennessee,53054
McMinn County, Tennessee,53285
McNairy County, Tennessee,25832
Macon County, Tennessee,24265
Madison County, Tennessee,97605
Marion County, Tennessee,28575
Marshall County, Tennessee,33683
Maury County, Tennessee,94340
Meigs County, Tennessee,12306
Monroe County, Tennessee,46357
Montgomery County, Tennessee,205950
Moore County, Tennessee,6411
Morgan County, Tennessee,21579
Obion County, Tennessee,30267
Overton County, Tennessee,22068
Perry County, Tennessee,8064
Pickett County, Tennessee,5082
Polk County, Tennessee,16898
Putnam County, Tennessee,78843
Rhea County, Tennessee,33044
Roane County, Tennessee,53140
Robertson County, Tennessee,71012
Rutherford County, Tennessee,324890
Scott County, Tennessee,22039
Sequatchie County, Tennessee,14876
Sevier County, Tennessee,97892
Shelby County, Tennessee,935764
Smith County, Tennessee,19942
Stewart County, Tennessee,13561
Sullivan County, Tennessee,157668
Sumner County, Tennessee,187149
Tipton County, Tennessee,61581
Trousdale County, Tennessee,11012
Unicoi County, Tennessee,17761
Union County, Tennessee,19688
Van Buren County, Tennessee,5765
Warren County, Tennessee,40878
Washington County, Tennessee,128607
Wayne County, Tennessee,16558
Weakley County, Tennessee,33415
White County, Tennessee,27107
Williamson County, Tennessee,231729
Wilson County, Tennessee,140625
Anderson County, Texas,58057
Andrews County, Texas,18128
Angelina County, Texas,87092
Aransas County, Texas,23792
Archer County, Texas,8786
Armstrong County, Texas,1892
Atascosa County, Texas,50310
Austin County, Texas,29989
Bailey County, Texas,7027
Bandera County, Texas,22824
Bastrop County, Texas,86976
Baylor County, Texas,3582
Bee County, Texas,32587
Bell County, Texas,355642
Bexar County, Texas,1986049
Blanco County, Texas,11702
Borden County, Texas,648
Bosque County, Texas,18691
Bowie County, Texas,94324
Brazoria County, Texas,370200
Brazos County, Texas,226758
Brewster County, Texas,9267
Briscoe County, Texas,1516
Brooks County, Texas,7114
Brown County, Texas,37924
Burleson County, Texas,18389
Burnet County, Texas,47542
Caldwell County, Texas,43247
Calhoun County, Texas,21561
Callahan County, Texas,13994
Cameron County, Texas,423908
Camp County, Texas,13033
Carson County, Texas,6005
Cass County, Texas,30119
Castro County, Texas,7665
Chambers County, Texas,42454
Cherokee County, Texas,52592
Childress County, Texas,7291
Clay County, Texas,10456
Cochran County, Texas,2836
Coke County, Texas,3370
Coleman County, Texas,8397
Collin County, Texas,1005146
Collingsworth County, Texas,2962
Colorado County, Texas,21217
Comal County, Texas,148373
Comanche County, Texas,13534
Concho County, Texas,4276
Cooke County, Texas,40574
Coryell County, Texas,74808
Cottle County, Texas,1389
Crane County, Texas,4794
Crockett County, Texas,3499
Crosby County, Texas,5779
Culberson County, Texas,2204
Dallam County, Texas,7200
Dallas County, Texas,2637772
Dawson County, Texas,12619
Deaf Smith County, Texas,18760
Delta County, Texas,5349
Denton County, Texas,859064
DeWitt County, Texas,20187
Dickens County, Texas,2249
Dimmit County, Texas,10308
Donley County, Texas,3319
Duval County, Texas,11212
Eastland County, Texas,18322
Ector County, Texas,162124
Edwards County, Texas,1928
Ellis County, Texas,179436
El Paso County, Texas,840758
Erath County, Texas,42446
Falls County, Texas,17335
Fannin County, Texas,35286
Fayette County, Texas,25349
Fisher County, Texas,3839
Floyd County, Texas,5837
Foard County, Texas,1200
Fort Bend County, Texas,787858
Franklin County, Texas,10766
Freestone County, Texas,19808
Frio County, Texas,19816
Gaines County, Texas,20901
Galveston County, Texas,337890
Garza County, Texas,6578
Gillespie County, Texas,26804
Glasscock County, Texas,1388
Goliad County, Texas,7584
Gonzales County, Texas,20826
Gray County, Texas,21895
Grayson County, Texas,133991
Gregg County, Texas,123707
Grimes County, Texas,28360
Guadalupe County, Texas,163694
Hale County, Texas,33830
Hall County, Texas,3028
Hamilton County, Texas,8484
Hansford County, Texas,5463
Hardeman County, Texas,3922
Hardin County, Texas,57207
Harris County, Texas,4698619
Harrison County, Texas,66726
Hartley County, Texas,5619
Haskell County, Texas,5813
Hays County, Texas,222631
Hemphill County, Texas,3825
Henderson County, Texas,82299
Hidalgo County, Texas,865939
Hill County, Texas,36354
Hockley County, Texas,22980
Hood County, Texas,60537
Hopkins County, Texas,36810
Houston County, Texas,23169
Howard County, Texas,36459
Hudspeth County, Texas,4795
Hunt County, Texas,96493
Hutchinson County, Texas,21198
Irion County, Texas,1522
Jack County, Texas,8843
Jackson County, Texas,14874
Jasper County, Texas,35872
Jeff Davis County, Texas,2252
Jefferson County, Texas,255001
Jim Hogg County, Texas,5248
Jim Wells County, Texas,40822
Johnson County, Texas,171361
Jones County, Texas,19817
Karnes County, Texas,15650
Kaufman County, Texas,128622
Kendall County, Texas,45641
Kenedy County, Texas,442
Kent County, Texas,726
Kerr County, Texas,52405
Kimble County, Texas,4362
King County, Texas,277
Kinney County, Texas,3767
Kleberg County, Texas,31129
Knox County, Texas,3653
Lamar County, Texas,49728
Lamb County, Texas,13158
Lampasas County, Texas,21229
La Salle County, Texas,7531
Lavaca County, Texas,20110
Lee County, Texas,17144
Leon County, Texas,17270
Liberty County, Texas,86323
Limestone County, Texas,23519
Lipscomb County, Texas,3355
Live Oak County, Texas,12166
Llano County, Texas,21646
Loving County, Texas,152
Lubbock County, Texas,307412
Lynn County, Texas,5877
McCulloch County, Texas,7987
McLennan County, Texas,254607
McMullen County, Texas,749
Madison County, Texas,14422
Marion County, Texas,9928
Martin County, Texas,5753
Mason County, Texas,4280
Matagorda County, Texas,36552
Maverick County, Texas,58485
Medina County, Texas,50921
Menard County, Texas,2139
Midland County, Texas,172578
Milam County, Texas,25131
Mills County, Texas,4921
Mitchell County, Texas,8145
Montague County, Texas,19596
Montgomery County, Texas,590925
Moore County, Texas,21485
Morris County, Texas,12339
Motley County, Texas,1234
Nacogdoches County, Texas,65711
Navarro County, Texas,49565
Newton County, Texas,13746
Nolan County, Texas,14751
Nueces County, Texas,362265
Ochiltree County, Texas,9947
Oldham County, Texas,2131
Orange County, Texas,83572
Palo Pinto County, Texas,28875
Panola County, Texas,23148
Parker County, Texas,138371
Parmer County, Texas,9864
Pecos County, Texas,15673
Polk County, Texas,50031
Potter County, Texas,119648
Presidio County, Texas,6948
Rains County, Texas,12159
Randall County, Texas,136271
Reagan County, Texas,3741
Real County, Texas,3478
Red River County, Texas,12175
Reeves County, Texas,15695
Refugio County, Texas,7032
Roberts County, Texas,903
Robertson County, Texas,17284
Rockwall County, Texas,100657
Runnels County, Texas,10234
Rusk County, Texas,54450
Sabine County, Texas,10589
San Augustine County, Texas,8232
San Jacinto County, Texas,28719
San Patricio County, Texas,66893
San Saba County, Texas,6054
Schleicher County, Texas,2895
Scurry County, Texas,16866
Shackelford County, Texas,3253
Shelby County, Texas,25418
Sherman County, Texas,3079
Smith County, Texas,230221
Somervell County, Texas,9016
Starr County, Texas,64525
Stephens County, Texas,9433
Sterling County, Texas,1311
Stonewall County, Texas,1362
Sutton County, Texas,3758
Swisher County, Texas,7462
Tarrant County, Texas,2084931
Taylor County, Texas,137640
Terrell County, Texas,823
Terry County, Texas,12287
Throckmorton County, Texas,1515
Titus County, Texas,33033
Tom Green County, Texas,118189
Travis County, Texas,1248743
Trinity County, Texas,14740
Tyler County, Texas,21696
Upshur County, Texas,41260
Upton County, Texas,3671
Uvalde County, Texas,26846
Val Verde County, Texas,49208
Van Zandt County, Texas,56019
Victoria County, Texas,92035
Walker County, Texas,72480
Waller County, Texas,53126
Ward County, Texas,11720
Washington County, Texas,35108
Webb County, Texas,275910
Wharton County, Texas,41619
Wheeler County, Texas,5191
Wichita County, Texas,132064
Wilbarger County, Texas,12820
Willacy County, Texas,21515
Williamson County, Texas,566719
Wilson County, Texas,50224
Winkler County, Texas,7720
Wise County, Texas,68305
Wood County, Texas,45129
Yoakum County, Texas,8591
Young County, Texas,18045
Zapata County, Texas,14190
Zavala County, Texas,11983
Beaver County, Utah,6580
Box Elder County, Utah,54950
Cache County, Utah,127068
Carbon County, Utah,20269
Daggett County, Utah,980
Davis County, Utah,351713
Duchesne County, Utah,19964
Emery County, Utah,10014
Garfield County, Utah,5080
Grand County, Utah,9764
Iron County, Utah,52775
Juab County, Utah,11555
Kane County, Utah,7709
Millard County, Utah,13006
Morgan County, Utah,12045
Piute County, Utah,1445
Rich County, Utah,2464
Salt Lake County, Utah,1152633
San Juan County, Utah,15449
Sanpete County, Utah,30623
Sevier County, Utah,21539
Summit County, Utah,41933
Tooele County, Utah,69907
Uintah County, Utah,35438
Utah County, Utah,622213
Wasatch County, Utah,33240
Washington County, Utah,171700
Wayne County, Utah,2690
Weber County, Utah,256359
Addison County, Vermont,36973
Bennington County, Vermont,35631
Caledonia County, Vermont,30302
Chittenden County, Vermont,164572
Essex County, Vermont,6250
Franklin County, Vermont,49421
Grand Isle County, Vermont,7090
Lamoille County, Vermont,25300
Orange County, Vermont,28999
Orleans County, Vermont,26907
Rutland County, Vermont,58672
Washington County, Vermont,58140
Windham County, Vermont,42756
Windsor County, Vermont,55286
Accomack County, Virginia,32412
Albemarle County, Virginia,108718
Alleghany County, Virginia,14910
Amelia County, Virginia,13013
Amherst County, Virginia,31666
Appomattox County, Virginia,15841
Arlington County, Virginia,237521
Augusta County, Virginia,75457
Bath County, Virginia,4292
Bedford County, Virginia,78747
Bland County, Virginia,6293
Botetourt County, Virginia,33277
Brunswick County, Virginia,16384
Buchanan County, Virginia,21221
Buckingham County, Virginia,16999
Campbell County, Virginia,54973
Caroline County, Virginia,30772
Carroll County, Virginia,29636
Charles City County, Virginia,6941
Charlotte County, Virginia,11938
Chesterfield County, Virginia,348556
Clarke County, Virginia,14523
Craig County, Virginia,5064
Culpeper County, Virginia,51859
Cumberland County, Virginia,9809
Dickenson County, Virginia,14523
Dinwiddie County, Virginia,28529
Essex County, Virginia,10919
Fairfax County, Virginia,1150795
Fauquier County, Virginia,70675
Floyd County, Virginia,15795
Fluvanna County, Virginia,26783
Franklin County, Virginia,56195
Frederick County, Virginia,88355
Giles County, Virginia,16844
Gloucester County, Virginia,37349
Goochland County, Virginia,23244
Grayson County, Virginia,15631
Greene County, Virginia,19779
Greensville County, Virginia,11627
Halifax County, Virginia,34120
Hanover County, Virginia,107239
Henrico County, Virginia,329261
Henry County, Virginia,50953
Highland County, Virginia,2210
Isle of Wight County, Virginia,36953
James City County, Virginia,76397
King and Queen County, Virginia,7042
King George County, Virginia,26575
King William County, Virginia,16939
Lancaster County, Virginia,10783
Lee County, Virginia,23541
Loudoun County, Virginia,406850
Louisa County, Virginia,36778
Lunenburg County, Virginia,12086
Madison County, Virginia,13295
Mathews County, Virginia,8802
Mecklenburg County, Virginia,30650
Middlesex County, Virginia,10769
Montgomery County, Virginia,98985
Nelson County, Virginia,14836
New Kent County, Virginia,22391
Northampton County, Virginia,11735
Northumberland County, Virginia,12147
Nottoway County, Virginia,15420
Orange County, Virginia,36644
Page County, Virginia,23933
Patrick County, Virginia,17673
Pittsylvania County, Virginia,60949
Powhatan County, Virginia,29189
Prince Edward County, Virginia,22950
Prince George County, Virginia,38082
Prince William County, Virginia,468011
Pulaski County, Virginia,34066
Rappahannock County, Virginia,7252
Richmond County, Virginia,9038
Roanoke County, Virginia,94073
Rockbridge County, Virginia,22752
Rockingham County, Virginia,81244
Russell County, Virginia,26748
Scott County, Virginia,21534
Shenandoah County, Virginia,43497
Smyth County, Virginia,30472
Southampton County, Virginia,17586
Spotsylvania County, Virginia,134238
Stafford County, Virginia,149960
Surry County, Virginia,6474
Sussex County, Virginia,11237
Tazewell County, Virginia,40855
Warren County, Virginia,40003
Washington County, Virginia,54402
Westmoreland County, Virginia,17830
Wise County, Virginia,38012
Wythe County, Virginia,28754
York County, Virginia,67846
Alexandria city, Virginia,160530
Bristol city, Virginia,16482
Buena Vista city, Virginia,6237
Charlottesville city, Virginia,48117
Chesapeake city, Virginia,242634
